block_number,block_timestamp_utc,transaction_hash,transaction_index,method,call_scope,counter_relevant,direct_transfer_ordinal,transfer_from_ordinal,random_before,random_after,counter_action,counter_certainty_before,counter_certainty_after,expected_full_burn_from_counter,observed_full_burn_candidate,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943667,2019-11-16 09:39:53 UTC,0x18504feca3a7d7776d47e1d867aa749de997bc82e45efed39afc660b21b588d9,152,"transfer(address,uint256)",direct_contract_call,True,30,,29,30,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943667,2019-11-16 09:39:53 UTC,0xab28a89619eaa78abed1d1c93ec621bd600b9bee7b963aa6a13055566af39d23,153,"transfer(address,uint256)",direct_contract_call,True,31,,30,31,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943667,2019-11-16 09:39:53 UTC,0x67ef2207b005b82848e4348648df58b1136078d21955b88b56f8851f1bd0ca05,154,"transfer(address,uint256)",direct_contract_call,True,32,,31,32,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943670,2019-11-16 09:40:20 UTC,0xde8165e878a9f5496b502117f99b68d6a67c8e1082e9de7e97203e94a80cf771,102,"transfer(address,uint256)",direct_contract_call,True,33,,32,33,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943670,2019-11-16 09:40:20 UTC,0x2f3c6305ec0b0d0f0df16488edb228c2ff5139ab2bbfd25d545b83f6cf9174ca,103,"transfer(address,uint256)",direct_contract_call,True,34,,33,34,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943670,2019-11-16 09:40:20 UTC,0x693d0840ab4e34b1ff32536823205fc7723a77d509ff4c7056dd4be4cb602525,104,"transfer(address,uint256)",direct_contract_call,True,35,,34,35,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943670,2019-11-16 09:40:20 UTC,0xcddbe97800982bf35f653553b1f2dfcf1403c90958fd2c1c29cd03823d8fb302,105,"transfer(address,uint256)",direct_contract_call,True,36,,35,36,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943672,2019-11-16 09:40:31 UTC,0x4d040faa86eccb809b80a59f84f7f897c16ed02b5c4161a7aff65ded29e9e769,65,"transfer(address,uint256)",direct_contract_call,True,37,,36,37,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943672,2019-11-16 09:40:31 UTC,0x887750b7dc31b663a4bde65be9f91f97d65ab5e443316ca864ff02c7b64fe686,66,"transfer(address,uint256)",direct_contract_call,True,38,,37,38,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943674,2019-11-16 09:40:56 UTC,0x69a0a3130fdd8891eecd878ac9ff24135a71a6dd68c6c111bda83d3b6fd5c6c0,102,"transfer(address,uint256)",direct_contract_call,True,39,,38,39,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943674,2019-11-16 09:40:56 UTC,0xebea72855c45667174d6f6039f4e1f46fd24314ba9c5c547f557126622a4ee0d,103,"transfer(address,uint256)",direct_contract_call,True,40,,39,40,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0x2258d3f0acd0ac07153e2844e58cff8b7ca9bbc9217c6639133cfaebedb31b2f,60,"transfer(address,uint256)",direct_contract_call,True,41,,40,41,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0x7f1161d8f21d6b3a86ebd7e56304c85926fbd2a5ec0f07587f45552e76927f26,61,"transfer(address,uint256)",direct_contract_call,True,42,,41,42,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0x26a843a719c6a91d5235f16d801c88285867493f5077973fb20ec292e28d2f27,62,"transfer(address,uint256)",direct_contract_call,True,43,,42,43,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0x1b5a1523397dded263c9e67516ad6b98dfb9c691063940c5d04fedcf43702ddc,63,"transfer(address,uint256)",direct_contract_call,True,44,,43,44,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0x919a364c0b8e5f4712951c2430d8f755266e6974f115b191ba2226c1261614c6,64,"transfer(address,uint256)",direct_contract_call,True,45,,44,45,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0xd5140a5bc5f7157d3b924a27a5bf4631b959a9110081a6709e571370787031d6,65,"transfer(address,uint256)",direct_contract_call,True,46,,45,46,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943675,2019-11-16 09:41:06 UTC,0xbce53d67e32c32f1ee767509a9ed9e352f4ce15f416c7080eee92e5e7efbf33f,66,"transfer(address,uint256)",direct_contract_call,True,47,,46,47,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943677,2019-11-16 09:41:22 UTC,0xf00eda9505ec95a5854c62bb81883d9c741fc02a34ba4b0993aed701874cb25a,55,"transfer(address,uint256)",direct_contract_call,True,48,,47,48,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943677,2019-11-16 09:41:22 UTC,0x8555126381168900d8dad9d7a0cfa1f26152e213d0feb8e29cdb7aa803ca281c,56,"transfer(address,uint256)",direct_contract_call,True,49,,48,49,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943677,2019-11-16 09:41:22 UTC,0x57b397df2721fd9ca655629a55ef546a0a2fd16be55bce73524462ecaadeb136,57,"transfer(address,uint256)",direct_contract_call,True,50,,49,50,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943677,2019-11-16 09:41:22 UTC,0x9bc9457bcabc712273b7fb8e0be321af7ad78f43c2341af481086f558b7e3dcd,58,"transfer(address,uint256)",direct_contract_call,True,51,,50,51,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943677,2019-11-16 09:41:22 UTC,0x4ef8112d0398c99c86f5d5270356bf81663b341a1a9a01566a6bca3ad73ce707,59,"transfer(address,uint256)",direct_contract_call,True,52,,51,52,increment,exact,exact,False,False,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
