block_number,block_timestamp_utc,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,method,call_scope,tx_from_address,tx_to_address,event,from_address,to_address,raw_value
8943533,2019-11-16 09:01:12 UTC,1573894872,0x4c2d2b6bc35a04df1ee5dad6ac6d20ef1086e4bf85681967137e1890b674bd45,0x4c0203b0d46ee98f4ba65c197d2b7796c0aa925ec84f31af9fe6f79ec13c3cfb,159,192,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x197e8e2d214faa56434ae483d2c40463170416c7,10774940571000000000000
8943533,2019-11-16 09:01:12 UTC,1573894872,0x4c2d2b6bc35a04df1ee5dad6ac6d20ef1086e4bf85681967137e1890b674bd45,0x4c0203b0d46ee98f4ba65c197d2b7796c0aa925ec84f31af9fe6f79ec13c3cfb,159,193,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x7a8990fb4239a1dc66b4530ce42cda2a920c8db5c38b6b7fd2645b859feeea38,91,390,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xa3cf3127d9b701c236a15dac2aed5b698834219c,10774940571000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x7a8990fb4239a1dc66b4530ce42cda2a920c8db5c38b6b7fd2645b859feeea38,91,391,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x7f3d38fad40d557d0e35a2f857049bd01c4544320f6207cf843c70494ba8bdce,92,392,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x24c1a4bfcb5893010d1f4d5b283317ffca64b572,10774940571000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x7f3d38fad40d557d0e35a2f857049bd01c4544320f6207cf843c70494ba8bdce,92,393,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x33fb9a2a4909062a812bf720c3f6e36cc2f315e5c794c2510a85f4b62f3f46b0,93,394,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x10cca5807d0a8004f983c9e0f9a046449f03c3a0,10774940571000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0x33fb9a2a4909062a812bf720c3f6e36cc2f315e5c794c2510a85f4b62f3f46b0,93,395,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0xd33eca3a41f56b00dd3c51de977825566ce0033053bd6afc33fa56872f0b52ef,94,396,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf0bec7a140eb0d58c050fca268cb6a3e32fdf75,10774940571000000000000
8943534,2019-11-16 09:01:24 UTC,1573894884,0xaf01c58326ec994d87f03cd863056a42c24117477b6846c38a20dea30adcfaa3,0xd33eca3a41f56b00dd3c51de977825566ce0033053bd6afc33fa56872f0b52ef,94,397,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,Transfer,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0x0000000000000000000000000000000000000000,1197215619000000000000
